seq,title,location,date,thumbnail_url,detail_url,description,hashtags,region,new_main_category,new_sub_category,exhibition_type,commerciality,new_mood_tags,new_audience_tags
26242,휴그 팝업,인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 가든스퀘어,2026-05-15~ 2026-05-28,https://imgprism.ehyundai.com/derivedImage/fileValue/202605/06/6110a82e-36a7-4a3a-8dbb-655bff71763f_01.png,https://dayforyou.com/getDetail?scheduleSeq=26242,"운영시간 📍 장소 : 인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 가든스퀘어 ⏰ 월-일 10:30 ~ 21:00 콘텐츠 ✅ 휴그(huug)는 따뜻한 전자기기를 통해 사용자와 오래 함께하는 ‘애착’을 만듭니다. 카메라와 인형 보조배터리로 일상의 순간을 더 포근하게 기록합니다. ✅ SPECIAL BENEFIT ㆍ혜택 ① 주말(금/토/일) 럭키드로우 박스 판매 ㆍ혜택 ② 버디즈 보조배터리 23,900원 최저가 판매 ㆍ혜택 ③ POP-UP 기념 최대 50% OFF","['#송도현대아울렛#휴그#카메라#인형보조배터리', '#송도현대아울렛', '#휴그', '#카메라', '#인형보조배터리']",송도,팝업스토어,기타,,브랜드,"[""트렌디한"", ""감성적인"", ""이색적인""]","[""20대"", ""30대"", ""친구""]"
26241,핀리 팝업 IN 송도,인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 가든스퀘어,2026-05-15~ 2026-05-28,https://imgprism.ehyundai.com/derivedImage/fileValue/202605/08/7cfd4791-768a-4e47-a4b9-40e5cf40c69b_01.jpg,https://dayforyou.com/getDetail?scheduleSeq=26241,"운영시간 📍 장소 : 인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 가든스퀘어 ⏰ 월-일 10:30 ~ 21:00 콘텐츠 ✅ FINNLEE는 유행을 초월한 일상적인 룩을 위해 높은 수준의 모더니즘 주얼리와 의상을 디자인합니다. ✅ SPECIAL BENEFIT 혜택 ① [주얼리] 샘플상품 최대 30% OFF 혜택 ② [의류] 최대 60% OFF 혜택 ③ 10만원 이상 [폴리싱천] 증정 30만원 이상 [헤어스크] 증정 50만원 이상 [5% 추가 할인] 혜택 ④ 카카오톡 친구 추가 시, [2,000원] 즉시 할인","['#송도현대아울렛#핀리#모더니즘#주얼리#의상#FINNLEE', '#송도현대아울렛', '#핀리', '#모더니즘', '#주얼리', '#의상', '#FINNLEE']",송도,팝업스토어,패션,,브랜드,"[""트렌디한"", ""이색적인"", ""감성적인""]","[""20대"", ""30대"", ""친구""]"
26240,한증막 식혜 팝업,인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 행사장 (공차 앞),2026-05-15~ 2026-05-21,https://imgprism.ehyundai.com/derivedImage/fileValue/202605/09/3ce7bf20-6c6b-4739-a83f-905bcfc17fb8_01.gif,https://dayforyou.com/getDetail?scheduleSeq=26240,"운영시간 📍 장소 : 인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 행사장 (공차 앞) ⏰ 월-일 10:30 ~ 21:00 콘텐츠 ✅ 무더운 여름, 더위를 한 번에 날려버릴 한증막 식혜를 만나보세요.","['#송도현대아울렛#한증막식혜', '#송도현대아울렛', '#한증막식혜']",송도,팝업스토어,식음료,,브랜드,"[""이색적인"", ""트렌디한""]","[""혼자"", ""가족"", ""친구""]"
26239,고모리 팝업 IN 송도,인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 행사장 (노티드 옆),2026-05-15~ 2026-05-28,https://imgprism.ehyundai.com/derivedImage/fileValue/202605/09/30d43b6e-6313-450d-b2ef-3f91353d01b6_01.jpg,https://dayforyou.com/getDetail?scheduleSeq=26239,운영시간 📍 장소 : 인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 행사장 (노티드 옆) ⏰ 월-일 10:30 ~ 21:00 콘텐츠 ✅ 신선한 찰옥수수 알갱이가 아낌없이 듬뿍 들어간 쫄깃한 식빵,"['#송도현대아울렛#고모리#식빵', '#송도현대아울렛', '#고모리', '#식빵']",송도,팝업스토어,식음료,,브랜드,"[""트렌디한"", ""감성적인"", ""포토제닉한""]","[""20대"", ""30대"", ""커플""]"
26238,탐모라강정 팝업,인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 행사장 (노티드 옆),2026-05-15~ 2026-05-21,https://imgprism.ehyundai.com/evntCrdInf/imgPath/202605/12/2e54ba98-bc9b-4634-af34-48b6a3b2d8a4.jpg,https://dayforyou.com/getDetail?scheduleSeq=26238,운영시간 📍 장소 : 인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 행사장 (노티드 옆) ⏰ 월-일 10:30 ~ 21:00 콘텐츠 ✅ 제주 특산물인 감귤과 한라봉을 활용해 제주만의 풍미를 담아낸 프리미엄 치킨 강정 브랜드,"['#송도현대아울렛#탐모라강정#치킨강정', '#송도현대아울렛', '#탐모라강정', '#치킨강정']",송도,팝업스토어,식음료,,브랜드,"[""트렌디한"", ""이색적인"", ""귀여운""]","[""20대"", ""30대"", ""친구""]"
26237,홍스요거트 팝업,인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 행사장 (노티드 옆),2026-05-15~ 2026-05-21,https://imgprism.ehyundai.com/evntCrdInf/imgPath/202605/12/8fa95aef-8abd-44dd-a4fa-95836e201253.jpg,https://dayforyou.com/getDetail?scheduleSeq=26237,운영시간 📍 장소 : 인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 행사장 (노티드 옆) ⏰ 월-일 10:30 ~ 21:00 콘텐츠 ✅ 농후 발효 공법과 풍부한 유지방으로 깊고 진한 맛을 완성한 프리미엄 요거트 브랜드,"['#송도현대아울렛#홍스요거트', '#송도현대아울렛', '#홍스요거트']",송도,팝업스토어,식음료,,브랜드,"[""트렌디한"", ""이색적인""]","[""20대"", ""커플"", ""친구""]"
26236,윌리엄자일리톨 팝업 IN 송도,인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 가든스퀘어,2026-05-15~ 2026-05-21,https://imgprism.ehyundai.com/evntCrdInf/imgPath/202605/14/6fd47260-2ad7-420b-adc0-d333686be928.jpg,https://dayforyou.com/getDetail?scheduleSeq=26236,운영시간 📍 장소 : 인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 가든스퀘어 ⏰ 월-일 10:30 ~ 21:00 콘텐츠 ✅ 100% 핀란드 자일리톨로 만든 국민 건강캔디를 송도점에서 만나보세요!,"['#송도현대아울렛#윌리엄자일리톨#캔디', '#송도현대아울렛', '#윌리엄자일리톨', '#캔디']",송도,팝업스토어,식음료,,브랜드,"[""트렌디한"", ""이색적인"", ""포토제닉한""]","[""20대"", ""30대"", ""가족""]"
25944,바디프랜드 팝업 IN 인천,인천광역시 미추홀구 연남로 35 롯데백화점 인천점 5층 팝업존,2026-05-11~ 2026-05-24,https://minfo.lotteshopping.com/content/news/202605/20260509184107383_0.jpeg,https://dayforyou.com/getDetail?scheduleSeq=25944,"운영시간 📍 장소 : 인천광역시 미추홀구 연남로 35 롯데백화점 인천점 5층 팝업존 ⏰ 월-목 10:30 ~ 20:00 / 금-일 10:30 ~ 20:30 콘텐츠 ✅ [롯데인천 팝업 단독] 더 케어 스페셜 1만원 할인 [마사지체어에 진심인 바디프랜드 준비한 렌탈케어 솔루션] 마사지체어가 최적의 상태를 유지할 수 있도록 바디프랜드의 전문 엔지니어가 직접 방문해 제품 상태 체크, 점검, 클리닝, 살균, 시트교체등 전문적으로 관리해주는 프리미엄 토탈 케어 서비스입니다. 롯데인천 단독, 팔콘N 이상 렌탈 계약 및 더케어 서비스 스페셜 추가 시, 1만원 할인을 진행합니다.","['#롯데백화점인천점#바디프랜드#마사지체어', '#롯데백화점인천점', '#바디프랜드', '#마사지체어']",인천,팝업스토어,식음료,,브랜드,"[""트렌디한"", ""이색적인"", ""포토제닉한""]","[""친구"", ""커플"", ""가족""]"
25943,오일릴리 팝업,인천광역시 미추홀구 연남로 35 롯데백화점 인천점 3층 더웨이브 존,2026-05-15~ 2026-05-28,https://minfo.lotteshopping.com/content/news/202605/SNM00000000000533369/20260509144806261_3.jpeg,https://dayforyou.com/getDetail?scheduleSeq=25943,운영시간 📍 장소 : 인천광역시 미추홀구 연남로 35 롯데백화점 인천점 3층 더웨이브 존 ⏰ 월-목 10:30 ~ 20:00 / 금-일 10:30 ~ 20:30 콘텐츠 ✅ [오일리리] POP UP SHOP 1963년 네덜란드에서 시작된 프리미엄 라이프스타일 브랜드 OILILY. 유니크한 컬러와 독창적인 생동감이 담긴 OILILY 26SS Collection을 롯데백화점 인천에서 선보입니다. 60년 전통의 장인정신과 네덜란드 특유의 독창적인 감성을 롯데 인천점 3층 The Wave 팝업에서 경험해보세요.,"['#롯데백화점인천점#오일릴리#OILILY', '#롯데백화점인천점', '#오일릴리', '#OILILY']",인천,팝업스토어,패션,,브랜드,"[""트렌디한"", ""이색적인"", ""포토제닉한""]","[""20대"", ""30대"", ""커플""]"
25652,슬라이폭스 인 도쿄 팝업,인천 미추홀구 연남로 35 롯데백화점 인천점 지하1층 식품관,2026-02-18~ 2026-05-17,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260428_166%2F1777352898160vsyJT_JPEG%2F251229_%25BD%25BD%25B6%25F3%25C0%25CC%25C6%25F8%25BD%25BA_%25C0%25CE_%25B5%25B5%25C4%25EC_%25C4%25B3%25B8%25AF%25C5%25CD_%25C6%25F7%25BD%25BA%25C5%25CD_1080x1350_%25B4%25EB%25C1%25F6_1.jpg,https://dayforyou.com/getDetail?scheduleSeq=25652,"운영시간 📍 장소 : 인천 미추홀구 연남로 35 롯데백화점 인천점 지하1층 식품관 ⏰ 월-목 10:30 ~ 20:00 / 금-일 10:30 ~ 20:30 콘텐츠 ✅ 슬라이폭스의 2번째 브랜드 < SLYFOX in TOKYO > 롯데백화점 인천점 인천 디저트 맛집, 후르츠 산도 디저트 전문점 슬라이폭스 인 도쿄! 망고 산도, 복숭아 산도, 딸기 산도 등 신선한 제철 과일과 수제 요거트 크림을 가득 채운 프리미엄 디저트를 즐겨보세요! 롯데 백화점 지하 1층 레피세리 매장 건너편에 위치해 있으며, 포장 / 예약이 가능합니다. 귀여운 컨셉과 특색 있는 과일 산도로 인천 디저트, 백화점 디저트, 인천 롯데백화점 디저트, 인천 선물 디저트, 인천 맛집 등으로 주목받고 있습니다!","['#롯데백화점인천점#슬라이폭스인도쿄#후르츠산도#디저트', '#롯데백화점인천점', '#슬라이폭스인도쿄', '#후르츠산도', '#디저트']",인천,팝업스토어,식음료,,브랜드,"[""귀여운"", ""트렌디한"", ""포토제닉한""]","[""20대"", ""30대"", ""커플""]"
