seq,source,title,location,region_name,date,reserve_end_dt,thumbnail_url,detail_url,store_url,description,hashtags,main_category,sub_category,detail_category,music_genre,mood_tags,activity_tags,theme_tags,space_tags,emotion_tags,audience_tags,vector_summary,region,new_main_category,new_sub_category,exhibition_type,commerciality,new_mood_tags,new_audience_tags
213199,melon,JAEHYUN FAN-CON TOUR 〈Mono〉 in SEOUL,잠실실내체육관,서울,2026-06-06~ 2026-06-07,2026-06-05 16:59,https://cdnticket.melon.co.kr/resource/image/upload/product/2026/04/20260430153848a5a83536-2adf-4eed-934a-d82e99d0c548.jpg,https://ticket.melon.com/performance/index.htm#/perf/213199,https://ticket.melon.com/performance/index.htm#/perf/213199,"<p><img src=""https://cdnticket.melon.co.kr/resource/image/upload/product/2026/04/20260430160427ae953e42-75cc-41c7-a1c5-1aaf017c2fd0.jpg"" title=""2026+%E1%84%8C%E1%85%A2%E1%84%92%E1%85%A7%E1%86%AB%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8F%E1%85%A9%E1%86%AB+%E1%84%89%E1%85%A1%E1%86%BC%E1%84%89%E1%85%A6%E1%84%91%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8C%E1%85%B5_%E1%84%80%E1%85%AE%E1%86%A8%E1%84%86%E1%85%AE%E1%86%AB_%E1%84%89%E1%85%AE%E1%84%8C%E1%85%A5%E1%86%BC_0430.jpg""><br style=""clear:both;"">&nbsp;</p>",[],공연,콘서트,,[],[],[],[],[],[],[],,잠실,공연,음악,,팬덤형,"[""트렌디한""]","[""20대"", ""커플"", ""팬덤""]"
213188,melon,2026 AND2BLE SHOW CONCERT : Welcome to Qurious,잠실실내체육관,서울,2026-06-19~ 2026-06-21,2026-06-20 10:59,https://cdnticket.melon.co.kr/resource/image/upload/product/2026/04/20260428141937ace4c60e-a276-4925-b403-d4983d360c38.jpg,https://ticket.melon.com/performance/index.htm#/perf/213188,https://ticket.melon.com/performance/index.htm#/perf/213188,"<p><img src=""https://cdnticket.melon.co.kr/resource/image/upload/product/2026/05/2026050411062468000015-f178-4cbf-8896-de15e27f622b.jpg"" title=""%5B%E1%84%8B%E1%85%A2%E1%86%AB%E1%84%83%E1%85%A5%E1%84%87%E1%85%B3%E1%86%AF%5D+%E1%84%89%E1%85%A5%E1%84%8B%E1%85%AE%E1%86%AF+%E1%84%89%E1%85%AD%E1%84%8F%E1%85%A9%E1%86%AB%E1%84%89%E1%85%A5%E1%84%90%E1%85%B3+%E1%84%89%E1%85%A1%E1%86%BC%E1%84%89%E1%85%A6%E1%84%91%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8C%E1%85%B5+%E1%84%80%E1%85%AE%E1%86%A8%E1%84%86%E1%85%AE%E1%",[],공연,콘서트,,[],[],[],[],[],[],[],,잠실,공연,,,비상업적,"[""트렌디한"", ""감성적인""]","[""20대"", ""30대"", ""팬덤""]"
213249,melon,DJ Soulscape Curated 29 JUNNY,"현대카드 UNDERSTAGE, 언더스테이지",서울,2026-06-13,2026-06-12 16:59,https://cdnticket.melon.co.kr/resource/image/upload/product/2026/05/20260512155020e8d0a9e4-2dba-4d55-b394-c971d0b90277.jpg,https://ticket.melon.com/performance/index.htm#/perf/213249,https://ticket.melon.com/performance/index.htm#/perf/213249,"<p><img src=""https://cdnticket.melon.co.kr/resource/image/upload/product/2026/05/202605180908042e019b61-4015-45f3-b14e-fc6e6c63e15c.jpg"" title=""JUNNY%E1%84%89%E1%85%A1%E1%86%BC%E1%84%89%E1%85%A6%E1%84%91%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8C%E1%85%B5-0515-08%5B%E1%84%80%E1%85%AE%E1%86%A8%E1%84%86%E1%85%AE%E1%86%AB%5D.jpg""><br style=""clear:both;"">&nbsp;</p>",[],공연,콘서트,,[],[],[],[],[],[],[],,홍대,공연,음악,,브랜드,"[""트렌디한"", ""감성적인"", ""힙한""]","[""20대"", ""30대"", ""팬덤""]"
213248,melon,RAPBEAT 2026 - FINAL TICKET,문화비축기지,서울,2026-06-20~ 2026-06-21,2026-06-20 10:59,https://cdnticket.melon.co.kr/resource/image/upload/product/2026/05/202605121435163fba077d-03ea-450c-8422-53b071d4080d.png,https://ticket.melon.com/performance/index.htm#/perf/213248,https://ticket.melon.com/performance/index.htm#/perf/213248,"<p><img src=""https://cdnticket.melon.co.kr/resource/image/upload/product/2026/04/2026043017471303920802-468c-45e2-9c01-a4551de7361d.png"" title=""260429_%E1%84%8E%E1%85%AC%E1%84%8C%E1%85%A9%E1%86%BC%E1%84%85%E1%85%A1%E1%84%8B%E1%85%B5%E1%86%AB%E1%84%8B%E1%85%A5%E1%86%B8_%E1%84%8B%E1%85%B5%E1%86%AF%E1%84%87%E1%85%A1%E1%86%AB%E1%84%90%E1%85%B5%E1%84%8F%E1%85%A6%E1%86%BA_%E1%84%86%E1%85%A6%E1%86%AF%E1%84%85%E1%85%A9%E1%86%AB%E1%84%90%E1%85%B5%E1%84%8F%E1%85%A6%E1%86%BA_%E1%84%89%E1%85%A1%E1%86%BC%E1%",[],공연,콘서트,,[],[],[],[],[],[],[],,없음,공연,음악,,비상업적,"[""트렌디한"", ""힙한""]","[""20대"", ""친구""]"
213241,melon,LATENCY X ROLLING QUARTZ Joint Concert [Afterglow],스페이스 브릭,서울,2026-05-30,2026-05-29 16:59,https://cdnticket.melon.co.kr/resource/image/upload/product/2026/05/20260511214743c47bf5a6-efd6-48b6-88ec-1f74845a18ab.png,https://ticket.melon.com/performance/index.htm#/perf/213241,https://ticket.melon.com/performance/index.htm#/perf/213241,"<p><img src=""https://cdnticket.melon.co.kr/resource/image/upload/product/2026/05/2026051316244288738c10-bce8-4251-8a5a-be9b3a339c55.png"" title=""0530+%E1%84%89%E1%85%A1%E1%86%BC%E1%84%89%E1%85%A6%E1%84%91%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8C%E1%85%B5+dd.png""><br style=""clear:both;"">&nbsp;</p>",[],공연,콘서트,,[],[],[],[],[],[],[],,,공연,음악,,브랜드,"[""트렌디한""]","[""20대"", ""30대"", ""팬덤""]"
213210,melon,2026 버둥 전국투어 [초록] : 서울 단독 콘서트,구름아래소극장,서울,2026-06-07~ 2026-06-08,2026-06-05 16:59,https://cdnticket.melon.co.kr/resource/image/upload/product/2026/05/202605060926568039ebae-9a35-4c29-be6a-3ab0f740889a.png,https://ticket.melon.com/performance/index.htm#/perf/213210,https://ticket.melon.com/performance/index.htm#/perf/213210,"<p><img src=""https://cdnticket.melon.co.kr/resource/image/upload/product/2026/05/20260515114525d153a968-3b49-4338-8d59-bef96801cd03.jpg"" title=""%5B%E1%84%86%E1%85%A6%E1%86%AF%E1%84%85%E1%85%A9%E1%86%AB%5D%E1%84%89%E1%85%A1%E1%86%BC%E1%84%89%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%86%E1%85%B5%E1%84%8C%E1%85%B5_%E1%84%87%E1%85%A5%E1%84%83%E1%85%AE%E1%86%BC_%E1%84%8E%E1%85%AE%E1%84%80%E1%85%A1+%E1%84%80%E1%85%A9%E1%86%BC%E1%84%8B%E1%85%A7%E1%86%AB-01.jpg""><br style=""clear:both;"">&nbsp;</p>",[],공연,콘서트,,[],[],[],[],[],[],[],,서울,공연,음악,,비상업적,"[""트렌디한"", ""힙한"", ""감성적인""]","[""20대"", ""30대"", ""팬덤""]"
213174,melon,사운드 플래닛 페스티벌 2026 - 일반 티켓,인천 파라다이스시티,인천,2026-09-05~ 2026-09-06,2026-09-05 10:59,https://cdnticket.melon.co.kr/resource/image/upload/product/2026/04/20260428115956e6301825-09c5-4af9-aaca-783a8c470a8f.jpg,https://ticket.melon.com/performance/index.htm#/perf/213174,https://ticket.melon.com/performance/index.htm#/perf/213174,"<img src=""https://cdnticket.melon.co.kr/resource/image/upload/product/2026/04/20260428120020fa378ea6-8d6a-4116-9081-bc7386906220.png"" title=""%E1%84%86%E1%85%A6%E1%86%AF%E1%84%85%E1%85%A9%E1%86%AB%E1%84%90%E1%85%B5%E1%84%8F%E1%85%A6%E1%86%BA+%E1%84%8B%E1%85%B5%E1%86%AF%E1%84%87%E1%85%A1%E1%86%AB%E1%84%90%E1%85%B5%E1%84%8F%E1%85%A6%E1%86%BA+%E1%84%80%E1%85%AE%E1%86%A8%E1%84%86%E1%85%AE%E1%86%AB%28%E1%84%89%E1%85%AE%E1%84%8C%E1%85%A5%E1%86%BC%29+dd.png""><br style=""clear:both;"">",[],공연,콘서트,,[],[],[],[],[],[],[],,인천,페스티벌,,,,[],[]
213222,melon,HANBINKIM’S 2ND SOLO CONCERT ‘Side B’,Vel.R(벨르) (구 벨로주),서울,2026-06-07,2026-06-05 16:59,https://cdnticket.melon.co.kr/resource/image/upload/product/2026/05/2026051111505109e85c1d-2872-4422-a8fb-1be08a404a31.png,https://ticket.melon.com/performance/index.htm#/perf/213222,https://ticket.melon.com/performance/index.htm#/perf/213222,"<img src=""https://cdnticket.melon.co.kr/resource/image/upload/product/2026/05/20260514172443bea0272c-c9c7-4d8b-a4f5-1900b7666a40.jpg"" title=""%5B%E1%84%86%E1%85%A6%E1%86%AF%E1%84%85%E1%85%A9%E1%86%AB%5D%5B%E1%84%92%E1%85%A1%E1%86%AB%E1%84%87%E1%85%B5%E1%86%AB%E1%84%8F%E1%85%B5%E1%86%B7%5D+%E1%84%89%E1%85%A1%E1%86%BC%E1%84%89%E1%85%A6%E1%84%91%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8C%E1%85%B5_%E1%84%89%E1%85%AE%E1%84%8C%E1%85%A5%E1%86%BC.jpg""><br style=""clear:both;"">",[],공연,콘서트,,[],[],[],[],[],[],[],,강남,공연,음악,,비상업적,"[""트렌디한"", ""감성적인"", ""힙한""]","[""20대"", ""30대"", ""팬덤""]"
213232,melon,2026 UmYull 소극장 콘서트 〈여기 평온한 거리에〉 (주말),숲세권 라이브,서울,2026-06-13~ 2026-06-14,2026-06-13 10:59,https://cdnticket.melon.co.kr/resource/image/upload/product/2026/05/20260511112339871d5753-4cdd-43d4-b66a-63fb85a13134.jpg,https://ticket.melon.com/performance/index.htm#/perf/213232,https://ticket.melon.com/performance/index.htm#/perf/213232,"<p><img src=""https://cdnticket.melon.co.kr/resource/image/upload/product/2026/05/2026051111271539c92d33-d53d-4198-bdad-40036df55206.jpg"" title=""%E1%84%89%E1%85%A1%E1%86%BC%E1%84%89%E1%85%A6%E1%84%91%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8C%E1%85%B5%28%E1%84%8C%E1%85%AE%E1%84%86%E1%85%A1%E1%86%AF%29.jpg""><br style=""clear:both;"">&nbsp;</p>",[],공연,콘서트,,[],[],[],[],[],[],[],,없음,공연,음악,,비상업적,"[""트렌디한"", ""감성적인"", ""힙한""]","[""20대"", ""30대"", ""커플""]"
213231,melon,2026 UmYull 소극장 콘서트 〈여기 평온한 거리에〉 (평일),숲세권 라이브,서울,2026-06-10~ 2026-06-12,2026-06-11 16:59,https://cdnticket.melon.co.kr/resource/image/upload/product/2026/05/202605111041284a2994fa-81e8-450e-81e5-d046e0d70945.jpg,https://ticket.melon.com/performance/index.htm#/perf/213231,https://ticket.melon.com/performance/index.htm#/perf/213231,"<p><img src=""https://cdnticket.melon.co.kr/resource/image/upload/product/2026/05/20260511104700d8f210d7-60b8-41d5-a107-fe40e7ad531a.jpg"" title=""%E1%84%89%E1%85%A1%E1%86%BC%E1%84%89%E1%85%A6%E1%84%91%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8C%E1%85%B5%28%E1%84%91%E1%85%A7%E1%86%BC%E1%84%8B%E1%85%B5%E1%86%AF%29.jpg""><br style=""clear:both;"">&nbsp;</p>",[],공연,콘서트,,[],[],[],[],[],[],[],,,공연,음악,,비상업적,"[""감성적인""]","[""30대"", ""커플"", ""혼자""]"
