seq,source,title,location,date,thumbnail_url,detail_url,store_url,description,hashtags,main_category,sub_category,detail_category,music_genre,mood_tags,activity_tags,theme_tags,space_tags,emotion_tags,audience_tags,vector_summary,region_filter
promo_1453,yanolja,〈현역가왕3〉 전국투어 콘서트,전국투어,2026-04-04~ 2026-06-20,https://image6.yanolja.com/cx-ydm/m4unzjNO21ZAkO9E?type=resize&width=50&quality=30,https://content.yanolja.com/promotions/1453,https://content.yanolja.com/promotions/1453,,[],공연,랩/힙합,,[],[],[],[],[],[],[],,서울
26004139,yanolja,2026 I.O.I Concert Tour: LOOP in SEOUL,잠실실내체육관,2026-05-29~ 2026-05-31,https://image6.yanolja.com/cx-ydm/VsniFvI879S9lI7u?type=resize&width=50&quality=30,https://nol.yanolja.com/ticket/places/26000297/products/26004139,https://nol.yanolja.com/ticket/places/26000297/products/26004139,,[],공연,랩/힙합,,[],[],[],[],[],[],[],,서울
25011306,yanolja,2026 WORLD DJ FESTIVAL,서울랜드,2026-06-13~ 2026-06-14,https://image6.yanolja.com/cx-ydm/rCykL3DYSnm6y6eZ?type=resize&width=50&quality=30,https://nol.yanolja.com/ticket/places/25000698/products/25011306,https://nol.yanolja.com/ticket/places/25000698/products/25011306,,[],공연,랩/힙합,,[],[],[],[],[],[],[],,서울
26006220,yanolja,"2026 2am Concert ［오늘, 2am］in Seoul",NOL씨어터 합정 동양생명홀,2026-06-13~ 2026-06-14,https://image6.yanolja.com/cx-ydm/GkWqL2Xj9VCveWVj?type=resize&width=50&quality=30,https://nol.yanolja.com/ticket/places/26000091/products/26006220,https://nol.yanolja.com/ticket/places/26000091/products/26006220,,[],공연,랩/힙합,,[],[],[],[],[],[],[],,서울
promo_1520,yanolja,〈미스트롯4〉 전국투어 콘서트,전국 각 지역,2026-04-25~ 2026-09-05,https://image6.yanolja.com/cx-ydm/WyGawYZoPJ9BXCSv?type=resize&width=50&quality=30,https://content.yanolja.com/promotions/1520,https://content.yanolja.com/promotions/1520,,[],공연,랩/힙합,,[],[],[],[],[],[],[],,서울
26004944,yanolja,포스트 말론 내한공연,고양종합운동장 주경기장,2026-10-02,https://image6.yanolja.com/cx-ydm/uqE7uYE4mcFHnGHo?type=resize&width=50&quality=30,https://nol.yanolja.com/ticket/places/26000336/products/26004944,https://nol.yanolja.com/ticket/places/26000336/products/26004944,,[],공연,랩/힙합,,[],[],[],[],[],[],[],,서울
26002268,yanolja,뷰티풀 민트 라이프 2026,문화비축기지,2026-05-30~ 2026-05-31,https://image6.yanolja.com/cx-ydm/rMKRy0riwefkwrkc?type=resize&width=50&quality=30,https://nol.yanolja.com/ticket/places/26000159/products/26002268,https://nol.yanolja.com/ticket/places/26000159/products/26002268,,[],공연,랩/힙합,,[],[],[],[],[],[],[],,서울
26001748,yanolja,PEAK FESTIVAL 2026,난지한강공원,2026-05-23~ 2026-05-24,https://image6.yanolja.com/cx-ydm/APiXa1ujzmL8i8Yh?type=resize&width=50&quality=30,https://nol.yanolja.com/ticket/places/22000433/products/26001748,https://nol.yanolja.com/ticket/places/22000433/products/26001748,,[],공연,랩/힙합,,[],[],[],[],[],[],[],,서울
26006978,yanolja,MIKA NAKASHIMA ASIA TOUR 2026 in SEOUL,킨텍스 제2전시장 9번홀,2026-06-13,https://image6.yanolja.com/cx-ydm/gQyXTIivwcIQfh5m?type=resize&width=50&quality=30,https://nol.yanolja.com/ticket/places/26000517/products/26006978,https://nol.yanolja.com/ticket/places/26000517/products/26006978,,[],공연,랩/힙합,,[],[],[],[],[],[],[],,서울
26007313,yanolja,"秀(수)콘서트 이은미 with 블루웨이브 빅밴드 - 연천, 1위",공연장: 연천수레울아트홀 대공연장,2026-06-27,https://ticketimage.interpark.com/Play/image/large/26/26007313_p.gif,https://nol.yanolja.com/ticket/products/26007313,https://nol.yanolja.com/ticket/products/26007313,,[],공연,랩/힙합,,[],[],[],[],[],[],[],,서울
26007196,yanolja,"THE LINES 2026, 2위",공연장: 롤링홀,2026-06-20,https://ticketimage.interpark.com/Play/image/large/26/26007196_p.gif,https://nol.yanolja.com/ticket/products/26007196,https://nol.yanolja.com/ticket/products/26007196,,[],공연,랩/힙합,,[],[],[],[],[],[],[],,서울
26006713,yanolja,"단독판매, 2026 무명전설 전국투어 콘서트 - 대구, 3위","공연장: 엑스코 동관 5,6홀",2026-07-18,https://ticketimage.interpark.com/Play/image/large/26/26006713_p.gif,https://nol.yanolja.com/ticket/products/26006713,https://nol.yanolja.com/ticket/products/26006713,,[],공연,랩/힙합,,[],[],[],[],[],[],[],,서울
26006714,yanolja,"단독판매, 2026 무명전설 전국투어 콘서트 - 수원, 4위",공연장: 경희대학교 국제캠퍼스 선승관,2026-07-25,https://ticketimage.interpark.com/Play/image/large/26/26006714_p.gif,https://nol.yanolja.com/ticket/products/26006714,https://nol.yanolja.com/ticket/products/26006714,,[],공연,랩/힙합,,[],[],[],[],[],[],[],,서울
26007033,yanolja,"단독판매, 터치드 X 드래곤포니 : MINTPAPER 20th SPECIAL LIVE, 5위",공연장: 올림픽공원 올림픽홀,2026-06-13,https://ticketimage.interpark.com/Play/image/large/26/26007033_p.gif,https://nol.yanolja.com/ticket/products/26007033,https://nol.yanolja.com/ticket/products/26007033,,[],공연,랩/힙합,,[],[],[],[],[],[],[],,서울
26006997,yanolja,"허클베리피 단독 콘서트 ‘VerseDay: DJ ＆ MC’, 단독판매",공연장: 롤링홀,2026-06-07,https://ticketimage.interpark.com/Play/image/large/26/26006997_p.gif,https://nol.yanolja.com/ticket/products/26006997,https://nol.yanolja.com/ticket/products/26006997,,[],공연,랩/힙합,,[],[],[],[],[],[],[],,서울
26006206,yanolja,Super Rookie Challenge,공연장: PRISMHALL,2026-05-22,https://ticketimage.interpark.com/Play/image/large/26/26006206_p.gif,https://nol.yanolja.com/ticket/products/26006206,https://nol.yanolja.com/ticket/products/26006206,,[],공연,랩/힙합,,[],[],[],[],[],[],[],,서울
26003317,yanolja,"［Play＆Stay］Vaundy ASIA ARENA TOUR 2026 ＂HORO＂IN SEOUL+Hotels, 단독판매",공연장: 인스파이어 아레나,2026-09-19~ 2026-09-20,https://ticketimage.interpark.com/Play/image/large/26/26003317_p.gif,https://nol.yanolja.com/ticket/products/26003317,https://nol.yanolja.com/ticket/products/26003317,,[],공연,랩/힙합,,[],[],[],[],[],[],[],,서울
26006423,yanolja,"제이슨 므라즈(Jason Mraz) 아시아 투어 2026 - 서울, 단독판매",공연장: 일산 킨텍스 제1전시장 1홀,2026-11-14,https://ticketimage.interpark.com/Play/image/large/26/26006423_p.gif,https://nol.yanolja.com/ticket/products/26006423,https://nol.yanolja.com/ticket/products/26006423,,[],공연,내한공연,,[],[],[],[],[],[],[],,서울
26006185,yanolja,마리아 슈나이더 오케스트라 내한공연,공연장: 롯데콘서트홀,2026-07-31,https://ticketimage.interpark.com/Play/image/large/26/26006185_p.gif,https://nol.yanolja.com/ticket/products/26006185,https://nol.yanolja.com/ticket/products/26006185,,[],공연,내한공연,,[],[],[],[],[],[],[],,서울
26003534,yanolja,"〈미스트롯4〉 전국투어 콘서트 - 수원, 단독판매",공연장: 경기아트센터 대극장,2026-06-20,https://ticketimage.interpark.com/Play/image/large/26/26003534_p.gif,https://nol.yanolja.com/ticket/products/26003534,https://nol.yanolja.com/ticket/products/26003534,,[],공연,내한공연,,[],[],[],[],[],[],[],,서울
26006676,yanolja,Masahiko Kondo ∼ Oh맛치합니다 2026! 스페셜 in 서울,공연장: 블루스퀘어 우리WON뱅킹홀,2026-06-27,https://ticketimage.interpark.com/Play/image/large/26/26006676_p.gif,https://nol.yanolja.com/ticket/products/26006676,https://nol.yanolja.com/ticket/products/26006676,,[],공연,내한공연,,[],[],[],[],[],[],[],,서울
26006350,yanolja,"2026 Enno Cheng 〈Moon Phases 2.0〉 World Tour - Live in Seoul, 단독판매, 공연장: Vel.R(벨르",구 벨로주),2026-06-19,https://ticketimage.interpark.com/Play/image/large/26/26006350_p.gif,https://nol.yanolja.com/ticket/products/26006350,https://nol.yanolja.com/ticket/products/26006350,,[],공연,내한공연,,[],[],[],[],[],[],[],,서울
26005670,yanolja,"오피셜히게단디즘 아시아 투어 2026 in SEOUL, 단독판매",공연장: KSPO DOME,2026-08-08~ 2026-08-09,https://ticketimage.interpark.com/Play/image/large/26/26005670_p.gif,https://nol.yanolja.com/ticket/products/26005670,https://nol.yanolja.com/ticket/products/26005670,,[],공연,내한공연,,[],[],[],[],[],[],[],,서울
26005556,yanolja,"랄라보이 내한공연, 단독판매",공연장: 롤링홀,2026-08-04,https://ticketimage.interpark.com/Play/image/large/26/26005556_p.gif,https://nol.yanolja.com/ticket/products/26005556,https://nol.yanolja.com/ticket/products/26005556,,[],공연,내한공연,,[],[],[],[],[],[],[],,서울
